Year,Suicide_Rate,Total_Pop,Weekly_Paid,VA_Ex_No,Mobile_Phone_Sub,Total_Divorces,LibBook_Sub,Veh_Pop,NewsPaper,RoadAccident,ElectricityCon,Unemploy_Rate,No_Rainy_Days,Hours_Bright_Sunshine,Crude_Marriage_rate,VA_Rate,MPSub_Rate,Divorce_Rate,LBSub_Rate,Poly_Spend,Uni_Spend,Veh_Pop_Rate,NewsP_Rate,RoadA_Rate,Elec_Cons_Rate
1990,2.55,3047132,46.5,203,46,3634,2437094,542352.00,833037.00,236,15617.60,1.775,142,6.2,8.6,0.0666,0.0151,1.1926,0.799799287,5916.00,13615.00,0.177987695,0.273383956,0.077449877,0.005125344
1991,2.3,3135083,46.6,255,75,4419,2726156,559304.00,897467.00,243,16596.60,1.75,146,5.4,8.7,0.0813,0.0239,1.4095,0.869564219,6051.00,14868.00,0.178401656,0.286265786,0.07750991,0.005293831
1992,2.08,3230698,46.6,295,110,3944,2890676,557584.00,937418.00,239,17543.10,1.8,163,5.5,8.9,0.0913,0.034,1.2208,0.894752775,6142.00,15422.00,0.172589329,0.290159588,0.073977822,0.005430127
1993,2.05,3313471,46.7,150,162,3966,2855826,584322.00,998010.00,258,18962.40,1.7,163,5.9,8.6,0.0453,0.0489,1.1969,0.861883505,6990.00,15450.00,0.176347401,0.301197747,0.077863968,0.005722821
1994,2.32,3419048,46.9,208,222,3742,2969292,611611.00,1053438.00,254,20675.40,1.7,160,5.4,8.2,0.0608,0.0649,1.0945,0.868455781,7584.00,16355.00,0.17888342,0.308108573,0.074289685,0.006047122
1995,2.58,3524506,47.1,255,292,4286,3134099,642129.00,1029103.00,225,22057.40,1.8,179,5.1,8.1,0.0724,0.0828,1.2161,0.889230718,7776.00,17241.00,0.182189788,0.291985033,0.063838734,0.006258295
1996,1.74,3670704,47.2,273,404.1,4625,4123500,668304.00,1031031.00,225,23909.40,1.7,170,5.6,7.7,0.0744,0.1101,1.26,1.123353994,8406.00,15037.00,0.182064258,0.280880997,0.061296144,0.006513573
1997,2.26,3796038,47.3,346,743,4866,4846200,683204.00,1043655.00,257,26709.40,1.4,116,5.7,8.1,0.0911,0.1957,1.2819,1.276646862,9018.00,15125.00,0.179978177,0.274932706,0.067702167,0.007036126
1998,2.37,3927213,46.7,399,1020.2,5640,5162700,681081.00,1076926.00,221,28374.80,2.5,177,5.7,7.1,0.1016,0.2598,1.4361,1.314596382,8144.00,12580.00,0.17342604,0.274221439,0.056274004,0.007225175
1999,1.99,3958723,46.8,406,1471.3,5314,5419800,688811.00,1091123.00,198,29520.10,2.8,177,5.4,7.8,0.1026,0.3717,1.3424,1.369077857,8032.00,14112.00,0.173998282,0.275624993,0.050016129,0.007456975
2000,2.22,4027887,47,518,2442.1,5137,6065400,692807.00,1341649.00,213,31665.00,2.7,188,5.3,6.7,0.1286,0.6063,1.2754,1.505851579,9546.00,15384.00,0.172002591,0.33309003,0.052881325,0.007861442
2001,2.32,4138012,46.2,518,2858.8,5071,6861100,708370.00,1531346.00,194,33061.00,2.7,184,5.2,6.5,0.1252,0.6909,1.2255,1.658066724,9668.00,15262.00,0.171186067,0.370068042,0.046882416,0.007989585
2002,2.28,4175950,46,551,3244.8,5809,7771400,706956.00,1619956.00,199,34664.60,3.6,139,6.3,6.6,0.1319,0.777,1.3911,1.860989715,9793.00,14287.00,0.169292257,0.387925143,0.047653827,0.008301009
2003,2.16,4114826,46,535,3477.1,6368,7821000,711043.00,1613661.00,212,35281.50,4,186,5.4,6.3,0.13,0.845,1.5476,1.900687903,10197.00,17477.00,0.172800259,0.392157773,0.051521012,0.008574239
2004,2.4,4166664,46.3,532,3860.6,6188,7855600,727395.00,1537023.00,193,36809.60,3.4,147,6,6.3,0.1277,0.9265,1.4851,1.885345207,10695.00,17609.00,0.174574912,0.368885756,0.04632003,0.00883431
2005,2.5,4265762,46.5,568,4256.8,6721,8306000,754992.00,1269123.00,173,38212.70,3.1,175,6.1,6.4,0.1332,0.9979,1.5756,1.947131603,10843.00,17793.00,0.176988777,0.297513785,0.040555474,0.008958001
2006,2.56,4401365,46.2,665,4637.7,6904,8447300,799373.00,1290268.00,190,39480.40,2.7,174,5.6,6.5,0.1511,1.0537,1.5686,1.919245507,11903.00,18472.00,0.181619339,0.293151784,0.043168426,0.008970035
2007,2.18,4588599,46.3,832,5619.2,7110,8602800,851336.00,1275177.00,214,41134.10,2.1,195,5.3,6.4,0.1813,1.2246,1.5495,1.874820615,12482.00,19011.00,0.185532883,0.277901163,0.046637329,0.008964414
2008,2.11,4839396,46.3,968,6340.2,7134,8631100,894682.00,1310855.00,221,41669.60,2.2,182,5.2,6.5,0.2,1.3101,1.4742,1.783507694,13479.00,19664.00,0.184874724,0.270871613,0.045666856,0.008610496
2009,2.34,4987573,46,915,6857.2,7280,7880100,925518.00,1503947.00,183,41800.60,3,166,5.9,6.6,0.1835,1.3749,1.4596,1.5799468,12598.00,18868.00,0.185564803,0.301538845,0.036691192,0.00838095
2010,2,5076732,46.2,999,7288.6,7338,8446700,945829.00,1529497.00,193,45366.50,2.2,178,5.7,6.1,0.1968,1.4357,1.4454,1.663806559,14552.00,20630.00,0.186306663,0.3012759,0.038016582,0.008936162
2011,2,5183688,46.2,858,7755.2,7604,8657700,956704.00,1507695.00,195,45999.40,2,188,5.6,6.7,0.1655,1.4961,1.4669,1.670181539,14687.00,20505.00,0.184560491,0.290853732,0.037618005,0.008873875
2012,2.53,5312437,46.2,675,8063,7237,8303000,969910.00,1476885.00,168,46936.20,2,191,5.5,6.7,0.1271,1.5178,1.3623,1.562936182,14487.00,20777.00,0.182573459,0.278005179,0.031623904,0.008835154
2013,2.23,5399162,46.2,559,8420.7,7525,8090702,974170.00,1448915.00,160,47963.50,1.9,206,5.4,6.3,0.1035,1.5596,1.3937,1.498510695,15304.00,21870.00,0.180429852,0.268359238,0.029634228,0.008883508
2014,2.14,5469724,46,973,8093.3,7307,8726200,972037.00,1384197.00,155,49309.70,2,152,6,6.8,0.1779,1.4797,1.3359,1.595363861,15681.00,22181.00,0.177712258,0.253065237,0.02833781,0.009015025
2015,2.06,5535002,45.6,1041,8211.4,7522,7899830,957246.00,1469033.00,151,50271.60,1.9,125,6.2,6.7,0.1881,1.4835,1.359,1.42724971,16118.00,21988.00,0.172944111,0.265407854,0.02728093,0.00908249
2016,2.14,5607283,45.5,1114,8399.7,7614,7549900,956430.00,1410869.00,141,51586.60,2.1,179,6,6.6,0.1987,1.498,1.3579,1.346445328,15934.00,21757.00,0.17056924,0.25161366,0.025145868,0.009199928
2017,1.73,5612253,45.1,1077,8462.8,7578,7540300,961842.00,1266908.00,121,52225.80,2.2,204,5.8,6.6,0.1919,1.5079,1.3503,1.343542424,16561.00,21624.00,0.171382509,0.225739645,0.021559969,0.009305675
2018,1.87,5638676,44.8,873,8389.5,7344,8820200,957006.00,879658.00,124,52904.80,2.1,188,5.7,6.4,0.1548,1.4878,1.3024,1.564232455,16408.00,22192.00,0.169721757,0.156004353,0.021990978,0.009382486
2019,1.87,5703569,44.7,900,9076.7,7623,8429400,973101.00,876982.00,118,54142.30,2.3,120,6.8,5.9,0.1578,1.5914,1.3365,1.477916722,16408.00,22192.00,0.170612646,0.153760216,0.0206888,0.009492705
